dim	coefficient
0	-1.1467787482190466
1	-1.2048491155228798
2	-1.1510707151618185
3	-1.2593898993693071
4	-1.1636655846876374
5	-1.1684660401726559
6	-1.1329244026854304
7	-1.1614123941047165
8	-1.2456916226747676
9	-1.184707672922412
10	-1.2350338607985205
11	-1.183843752647078
12	-1.2961678868176971
13	-1.1323618461834415
14	-1.1518028564382108
15	-1.2147117568375048
16	-1.2297435822017648
17	-1.230368477288428
18	-1.222892390400395
19	-1.2036358984711613
20	-1.2568784369996937
21	-1.1279739721892077
22	-1.2011780142599502
23	-1.2159459626604199
24	-1.2425616806450115
25	-1.2144814234729209
26	-1.1444031775973023
27	-1.233993695644573
28	-1.248296080343855
29	-1.229658422380444
30	-1.0953501018606229
31	-1.1853157419932296
32	-1.2563388655462076
33	-1.327349673388029
34	-1.2974653187723817
35	-1.2011306274738638
36	-1.250610103452934
37	-1.20575566783242
38	-1.2053822757471289
39	-1.1919527062172357
40	-1.2259130717199502
41	-1.2245049921857887
42	-1.1943392752798698
43	-1.3220346284977569
44	-1.1755321783322659
45	-1.2658489496651648
46	-1.1058248975687193
47	-1.1655867626953174
48	-1.0490668137537638
49	-1.3005153069252782
50	-1.1854837958479234
51	-1.200704748084138
52	-1.147019603745979
53	-1.3107622891314872
54	-1.2646274275908496
55	-1.2465537436926222
56	-1.2222013956770397
57	-1.265688724048533
58	-1.2858600834792375
59	-1.1847497781347498
60	-1.1576064632739202
61	-1.218909180462072
62	-1.2508157792507824
63	-1.1956026255772076
64	-1.2874665883735508
65	-1.2548940727461395
66	-1.304554486894813
67	-1.1954288718844466
68	-1.2073278004939962
69	-1.2484181583929967
70	-1.2190184182371508
71	-1.3285618861029533
72	-1.1239600919943178
73	-1.1907293206545977
74	-1.1353481363878934
75	-1.2058209031131844
76	-1.3219930770653787
77	-1.2394103532056877
78	-1.1332159264579476
79	-1.22790270013328
80	-1.248004449837051
81	-1.3315209662604706
82	-1.2919210993481374
83	-1.2379117791599863
84	-1.192912202919382
85	-1.1880639045706978
86	-1.2258085016276308
87	-1.1956899035150408
88	-1.1671592881905832
89	-1.1069356001047705
90	-1.2102618562080398
91	-1.138420481662211
92	-1.1937196616581167
93	-1.1814080417459425
94	-1.2412895489562956
95	-1.147554877238326
96	-1.3142900712324033
97	-1.1920634887289634
98	-1.257892784722651
99	-1.3091868055565394
100	-1.1465507180096213
101	-1.2039721250877797
102	-1.2559939922448207
103	-1.3285767054534863
104	-1.2096707670512679
105	-1.145189993694133
106	-1.2512883380786572
107	-1.2482001191442742
108	-1.3177144872659932
109	-1.4466171612766998
110	-1.1491228136155618
111	-1.2485476441868917
112	-1.2099958209045583
113	-1.1495787537103528
114	-1.174383744623941
115	-1.1064390458651212
116	-1.2826111388495691
117	-1.1906335831966548
118	-1.2103977233533634
119	-1.2583872735643058
120	-1.1919474566641683
121	-1.273871034396319
122	-1.2074653781461755
123	-1.1450699579250982
124	-1.1614365873443204
125	-1.2508604383728432
126	-1.2105703785993334
127	-1.2422532872484395
128	-1.132977001996745
129	-1.0962525015769164
130	-1.2276665790310177
131	-1.319583274408764
132	-1.1856746318990556
133	-1.3094521527591878
134	-1.1714005534755925
135	-1.1272280398790275
136	-1.1965523680075048
137	-1.1768521667228027
138	-1.225275369688128
139	-1.2300365003443445
140	-1.2072896976445604
141	-1.1917919554687275
142	-1.4312793163750568
143	-1.2152791816042463
144	-1.1981956901443578
145	-1.16143180543955
146	-1.2512509698175749
147	-1.1693747915553527
148	-1.1274789470720206
149	-1.2458625544487805
150	-1.2084909882334536
151	-1.2427478192918489
152	-1.260245821812993
153	-1.2361159954676424
154	-1.2250482522341366
155	-1.1835614938934016
156	-1.1505576126872756
157	-1.289305640576057
158	-1.1344605868139706
159	-1.3362426924010866
160	-1.1613834608015152
161	-1.245459101021202
162	-1.2164234014847901
163	-1.1602154336184027
164	-1.208946006300434
165	-1.2264540762933898
166	-1.1730930553132546
167	-1.0709507343220157
168	-1.143909555916354
169	-1.1233361102531707
170	-1.1889014291737428
171	-1.2109751369134256
172	-1.2089088671876107
173	-1.1815509360403749
